symbol	CYFZ_PBMC	FY2H_PBMC	FLWA_PBMC	X453W_PBMC	X684C_PBMC	CZJE_PBMC	DZQV_PBMC	X925L_PBMC	X9JD4_PBMC	G4YW_PBMC	X4DUY_PBMC	X36TS_PBMC	CR3L_PBMC
SS18L2	45.85489	33.4232	39.78231	29.30201	37.20672	39.64947	20.58224	35.45852	36.176202	30.680434	23.61632	23.729728	38.53057
SSB	111.748038	122.7968046	187.697534	142.820604	150.3561	124.151836	108.6994087	100.46213	103.233155	94.247741	86.593469	101.4526058	100.19726
SSBP1	80.680799	68.33754	93.11292091	79.319326	69.965749	68.586466	74.65214583	74.6212	71.8563	71.237543	74.239345	72.2972924	79.5371067
SSBP2	94.70568156	104.232672	116.962923	109.682539	128.515799	146.101992	83.756501	145.55953	88.530684	115.5607025	87.35092429	87.928791	127.43599
SSBP3	17.20621	12.748125	17.871534	15.352355	11.143758	11.653952	9.325673025	8.850258	13.14839	9.854008	5.369884077	9.843919	7.168288
SSBP4	6.960648	8.2468999	15.360093	12.395159	14.53495	11.031097	7.890278	14.320856	9.632591	18.684286	8.837695	11.256896	11.777372
SSC5D	0.0905311	0.1766899	0.1346977	0.063713	0.0310757	0.1294871	0.0471789	0.101532	0.4058672	0.0858953	0.0788585	0.208742	0.169827
SSFA2	24.48839	28.24956652	31.25504835	25.48652513	21.39906101	25.83359841	23.407809	18.34070974	29.085635	34.781861	27.55484671	29.139352	31.58589406
SSH1	6.994864	3.686403	5.017621	5.3768159	4.788528	8.97148	7.969774	7.27596	7.433922	8.777392	12.551487	9.698055	8.60279375
SSH2	46.857332	39.891305	51.446865	50.22451	40.458262	66.451848	42.050266	64.975666	52.653055	59.87833	63.738485	74.126289	68.307797
SSH3	12.22644	13.71395	8.067304	6.518871	9.981995	6.44999	11.138873	18.091104	10.23615	8.007332	13.428109	7.75519	5.626188
SSNA1	32.50656	19.101732	25.6932	17.6718	32.92240884	26.17409	24.20292	32.15803	36.360599	40.04074	35.96479	28.21851	29.043277
